ticker,category,as_of_date,growth_rate,wacc,beta,revenue_growth,fcf_yield,dcf_over_price,mc_mean_over_price,mc_std_over_price,mc_prob_undervalued,net_cash_per_share_over_price,relative_vs_history_pct,momentum_6m,momentum_12m,annualized_volatility,realized_return_pct,realized_label
AOS,Industrials (S&P 500),2024-08-31,0.026345933562428314,0.07777010597797104,0.8783345883559754,0.026345933562428408,0.06043855294966941,1.543759556755438,1.3516633388876114,0.3044168498543327,0.8797653958944281,0.015587955737256213,-45.36,-0.87,17.37,24.16,-22.27,OVERVALUED
ACN,Information Technology (S&P 500),2024-08-31,0.04087131107332076,0.07169687804317222,0.7530056438546807,0.04087131107332082,0.030301677883753247,1.0282497494474012,0.8042061964574435,0.17201087204928414,0.14325323475046212,0.028525342576661655,15.44,-10.15,7.32,22.53,-44.88,OVERVALUED
ABT,Health Care (S&P 500),2024-08-31,-0.08118571461297042,0.07,0.2343863297407278,-0.08118571461297047,0.03469757665604562,0.6044856135160392,0.4551181966638216,0.10262312639348936,0.0,-0.04635768712528926,25.98,-4.67,12.37,18.67,5.08,UNDERVALUED
ABBV,Health Care (S&P 500),2024-08-31,-0.06435387742446685,0.07,0.29061519855268536,-0.06435387742446688,0.03206526755034158,0.41894569214617833,0.2883748795957075,0.09672345741051665,0.0,-0.14345838313756026,117.95,12.94,38.74,18.86,42.43,UNDERVALUED
A,Health Care (S&P 500),2024-08-31,-0.0021904205607476968,0.0764847201252389,0.9114421766816213,-0.0021904205607476634,0.015541806902031888,0.3233944172653384,0.2753639500950132,0.06422919910752159,0.0,-0.02785772314779756,13.99,0.39,18.9,27.42,11.09,UNDERVALUED
ADBE,Information Technology (S&P 500),2024-08-31,0.10240826990798602,0.09585466905356262,1.3015545437614027,0.10240826990798592,0.015310815108385485,0.4226609015683192,0.44050351100225726,0.14266000676916044,0.0021152829190904283,0.011711970268628644,44.9,1.14,2.69,33.74,-52.61,OVERVALUED
AKAM,Information Technology (S&P 500),2024-08-31,0.0539907881705024,0.07,0.6734312748423104,0.053990788170502346,0.04591003404316715,1.4413827224432836,1.0112342570100663,0.2743574524442948,0.502,-0.2627338604724532,24.96,-8.05,-3.09,24.31,8.1,UNDERVALUED
APD,Materials (S&P 500),2024-08-31,-0.007764635471626757,0.07,0.4817457928525648,-0.007764635471626794,0.026284446593842006,0.5371695769211918,0.36014022542853075,0.10365973234950862,0.0,-0.1598698940553258,24.01,18.63,-3.08,29.72,13.32,UNDERVALUED
ALLE,Industrials (S&P 500),2024-08-31,0.11580427274672211,0.07270348379581827,0.8932522644343222,0.11580427274672209,0.07456494427646695,3.662455207160548,2.8603574449934013,0.8963358533366521,1.0,-0.13022393467305518,5.71,8.63,23.92,22.66,19.13,UNDERVALUED
ABNB,Consumer Discretionary (S&P 500),2024-08-31,0.18073580188117644,0.1049870871507584,1.5373915416238966,0.18073580188117633,0.024804755232689792,0.9410588595680851,1.0310849075962685,0.40829643271194854,0.44111675126903555,0.061060519593063245,81.38,-25.8,-10.82,35.32,57.7,UNDERVALUED
